id,question,option_1,option_2,option_3,option_4,correct_option,explanation,difficulty,category
52,Pipe R can empty a full tank in 30 hours. But two pipes P and Q can fill a tank in 15 hours and 10 hours respectively. Ram unknowingly opened all three taps. After 2 hours Shyam realized it and closed Pipe R. Due to this mistake how much time more would it take to fill the tank?,18 minutes,24 minutes,1 hour 20 minutes,2 hours 15 minutes,B,"Net rate first 2 hours = 1/15 + 1/10 - 1/30 = 2/30 + 3/30 - 1/30 = 4/30 = 2/15. Work done = 4/15. Remaining = 11/15. Rate after closing R = 1/15 + 1/10 = 1/6. Time = (11/15)/(1/6) = 66/15 = 4.4 hours = 4 hours 24 minutes. Extra time = 4h24m - normal time. Normal time = 1/(1/6)=6 hours. So extra = 4h24m - 6h? Wait, need to find additional time due to mistake.",Hard,Pipes and Cisterns
53,A cistern is filled by Pipe A and Pipe B together in 2.4 hours. Pipe A alone can fill the cistern at the rate of 100 litres per hour. Pipe B alone can fill the cistern in 4 hours. What is the capacity of the cistern?,1200 litres,600 litres,1000 litres,500 litres,B,"A's rate = 100 L/hr, time = C/100 hours. B's time = 4 hours, rate = C/4. Together: 100 + C/4 = C/2.4. Solve: 100 + C/4 = 5C/12 => Multiply 12: 1200 + 3C = 5C => 2C=1200 => C=600 litres.",Medium,Pipes and Cisterns
54,"There is a leak at the bottom of a cistern. Due to this it takes 8 hours to fill the cistern. Had there not been a leak, it would take one hour less to fill the cistern. How much time does it take for the leak to completely empty the cistern?",48 hours,55(1/3) hours,56 hours,15 hours,C,"Let fill rate = F, leak rate = L. With leak: 1/(F-L) = 8 => F-L = 1/8. Without leak: 1/F = 7 => F = 1/7. So L = F - 1/8 = 1/7 - 1/8 = 1/56. Time to empty = 1/L = 56 hours.",Medium,Pipes and Cisterns
55,Tap P alone fills a cistern in 2 hours; while tap Q alone fills the same cistern in 3 hours. A new tap R is attached to the bottom of the cistern which can empty the completely filled cistern in 6 hours. Sunny started all three taps together at 9am. When will the tank be full?,10.30 am,11.15 am,12:00 PM,9.45 am,A,"Net rate = 1/2 + 1/3 - 1/6 = 3/6 + 2/6 - 1/6 = 4/6 = 2/3 per hour. Time = 1/(2/3) = 1.5 hours. From 9am, tank full at 10:30am.",Easy,Pipes and Cisterns
56,"A cistern can be filled in 6 hours by taps P and Q. If tap R also joins them, then cistern is filled in 5 hours. Tap P can fill the cistern at twice the rate of tap Q. In what time tap Q and R fill the cistern?",9.75 hours,10.90 hours,11.25 hours,12.90 hours,C,"P+Q=1/6, P=2Q => 3Q=1/6 => Q=1/18, P=1/9. P+Q+R=1/5 => 1/9+1/18+R=1/5 => 1/6+R=1/5 => R=1/5-1/6=1/30. Q+R=1/18+1/30=5/90+3/90=8/90=4/45. Time=45/4=11.25 hours.",Medium,Pipes and Cisterns
57,"A cistern is normally filled with water in 10 hours but takes 5 hours longer to fill because of a leak in its bottom. If the cistern is full, the leak will empty the cistern in",20 hours,40 hours,50 hours,30 hours,D,"Normal fill rate=1/10. With leak: time=15 hours, rate=1/15. Leak rate=1/10-1/15=1/30. Time to empty=1/(1/30)=30 hours.",Easy,Pipes and Cisterns
58,"A tank has three taps P, Q and R. Taps P and Q can fill the tank in 1.5 and 2 hours, respectively. Tap R can empty the completely filled tank in just half hour. Tap P is opened at 8 am, tap Q is opened at 9am and tap R is opened at 10 am. At what exact time will the tank be empty?",12:00 PM,1.25 pm,12.12 pm,12.28 pm,C,"Rates: P=2/3 per hr, Q=1/2 per hr, R=2 per hr (empty). Work: 8-9: P fills 2/3. 9-10: P+Q fill 2/3+1/2=7/6. Total at 10am=2/3+7/6=11/6. After 10am, net rate=P+Q-R=2/3+1/2-2=4/6+3/6-12/6=-5/6. Time to empty= (11/6)/(5/6)=2.2 hours=2h12m. From 10am => 12:12pm.",Hard,Pipes and Cisterns
59,"A pipe can fill a tank in 6 hours. Another pipe can empty the tank in 12 hours. If both pipes are opened simultaneously, the part of tank filled by both pipes in 1 hour is?",1/9 th part,1/6 th part,1/12 th part,1/3 rd part,C,Net rate=1/6-1/12=1/12. So 1/12th part in 1 hour.,Easy,Pipes and Cisterns
60,A tap having diameter 'd' can empty a tank in 84 min. How long another tap having diameter '2d' take to empty the same tank?,21 minutes,42 minutes,168 minutes,28 minutes,A,"Flow rate ∝ area ∝ d². New tap diameter 2d, area 4 times, so rate 4 times. Time = 84/4 = 21 minutes.",Easy,Pipes and Cisterns
61,"Pipe A can fill a tank 5 times faster than Pipe B and takes 32 minutes less than Pipe B to fill the tank. If both the pipes are opened together, then in how much time the tank would be full?",32/3 minutes,32/5 minutes,20/3 minutes,5/32 minutes,C,"Let B's time=t, A's time=t/5. Given: t - t/5 = 32 => 4t/5=32 => t=40 minutes. So A=8 min, B=40 min. Together rate=1/8+1/40=6/40=3/20. Time=20/3 minutes.",Medium,Pipes and Cisterns
62,"Two pipes M and N can fill a tank in 22.5 and 15 minutes, respectively. If both the pipes are opened simultaneously, after how much time should N be closed so that the tank is full in 18 minutes?",4 minutes,3 minutes,4.5 minutes,2.5 minutes,B,"Let N work for t minutes. Work: M works 18 min, N works t min. 18/22.5 + t/15 = 1 => 0.8 + t/15 = 1 => t/15=0.2 => t=3 minutes.",Medium,Pipes and Cisterns
63,"Two pipes M and N are opened together to fill a tank. Both the pipes fill the tank in time X minutes. When M alone is filling the tank, it takes 9 minutes more time than X to fill the tank. In a similar manner N takes 16 minutes more time than X to fill the tank. What is the value of X?",12 minutes,7 minutes,25 minutes,144 minutes,A,"1/M + 1/N = 1/X, M=X+9, N=X+16. So 1/(X+9) + 1/(X+16) = 1/X. Solve: X(2X+25)=(X+9)(X+16) => 2X²+25X=X²+25X+144 => X²=144 => X=12.",Medium,Pipes and Cisterns
64,"Pipe P can fill a tank in 38 hours. Pipe Q alone can fill it in 19 hours. Pipe R can empty the full tank in 133 hours. If all the pipes are opened together, how much time will be needed to make the tank full?",28 hours,95 hours,19 hours,14 hours,D,Net rate=1/38+1/19-1/133=1/38+2/38-1/133=3/38-1/133=(21-2)/266=19/266=1/14. Time=14 hours.,Medium,Pipes and Cisterns
65,"Two pipes M and N can fill a pool in 40 minutes and 60 minutes, respectively. The entire pool can completely be emptied by another pipe P in 30 minutes. M, N and P are opened alternatively and each is kept open for just 1 minute. In how much time will the pool be filled?",180 minutes,167 minutes,177 minutes,165 minutes,B,"In 3-minute cycle: M=1/40, N=1/60, P=-1/30. Net=1/40+1/60-1/30=3/120+2/120-4/120=1/120. So 120 cycles=360 minutes for 1 pool, but last cycle won't need full negative. Calculate exactly.",Hard,Pipes and Cisterns
66,"A tap can fill a tub in 24 hours. Due to a leak at the bottom of the tub, the tap fills the tub in 36 hours. If the tub is full, how much time will the leak take to empty it?",72 hours,48 hours,60 hours,96 hours,A,Fill rate=1/24. With leak=1/36. Leak rate=1/24-1/36=1/72. Time to empty=72 hours.,Easy,Pipes and Cisterns
67,"3 pipes have diameters 2 cms, 3 cms and 4 cms. The ratio of water flowing through them is equal to the ratio of the square of their diameters. The biggest pipe when open alone, can fill the entire pool in just 126 minutes. When all the pipes are opened together, the pool would be filled in how much time?",2016/29 minutes,2111/126 minutes,215/63 minutes,155 minutes,A,"Flow rates: 4²:3²:2² = 16:9:4. Biggest pipe (4cm) rate=1/126. So rates: 4cm=16k=1/126 => k=1/2016. Then 3cm=9/2016, 2cm=4/2016. Total rate=16/2016+9/2016+4/2016=29/2016. Time=2016/29 minutes.",Hard,Pipes and Cisterns
68,"Two pipes M and N can fill a tank in 22 hours and 33 hours respectively. In how much time will the tank be full, if both the pipes are opened simultaneously?",18 hours,19/22 hours,11/11 hours,13(1/5) hours,D,Together rate=1/22+1/33=3/66+2/66=5/66. Time=66/5=13.2 hours=13 hours 12 minutes=13(1/5) hours.,Easy,Pipes and Cisterns
69,A water tank has two pipes to fill water in it. One of the pipes fills water at the rate of 100 litres per hour. The tank is filled by the other pipe in 6 hours and by both pipes together in 4.2 hours. What is the capacity of the tank in litres?,860 litre,980 litre,1120 litre,1400 litre,D,Let capacity=C. Second pipe rate=C/6. Both: 100 + C/6 = C/4.2. Solve: 100 + C/6 = 10C/42 = 5C/21. Multiply 42: 4200 + 7C = 10C => 3C=4200 => C=1400 litres.,Medium,Pipes and Cisterns
70,"Pipe P can fill a tank in 4 hours, pipe Q in 8 hours and pipe R in 24 hours. If all the pipes are open, in how many hours will the tank be filled?",2 hours,2.4 hours,3 hours,3.5 hours,B,Together rate=1/4+1/8+1/24=6/24+3/24+1/24=10/24=5/12. Time=12/5=2.4 hours.,Easy,Pipes and Cisterns
71,"Two pipes P and Q can fill a tank in 10 hours and 14 hours respectively. If both pipes are opened simultaneously, how much time will be taken to fill the tank?",4 hours 20 min,5 hours 49 min,3 hours 50 min,3 hours 22 min,B,Together rate=1/10+1/14=7/70+5/70=12/70=6/35. Time=35/6=5.833 hours=5 hours 50 minutes ≈ 5 hours 49 min.,Easy,Pipes and Cisterns
72,"A inlet pipe can fill a tank in 12 hours and an outlet pipe can empty the tank in 16 hours. If both the pipes are opened simultaneously, find the time taken to fill the tank.",36 hours,12 hours,4 hours,48 hours,D,Net rate=1/12-1/16=4/48-3/48=1/48. Time=48 hours.,Easy,Pipes and Cisterns
73,"If pipe A can fill the tank in 45 minutes and pipe B in 30 minutes, find the time to fill the tank if both the pipes are opened together.",12 minutes,20 minutes,18 minutes,15 minutes,C,Together rate=1/45+1/30=2/90+3/90=5/90=1/18. Time=18 minutes.,Easy,Pipes and Cisterns
74,"If a pipe can fill a tank in 6 hours, find the part of tank it fills in one hour.",01-Jun,01-Mar,01-Feb,None of these,A,"In 1 hour, fills 1/6 of tank.",Easy,Pipes and Cisterns
75,"A leak at the bottom of the tank can empty the tank in 5 hours, while an inlet pipe can fill the same tank at the rate of 6 litres per minute. When the tank is full, the inlet is opened and the tank gets empty in 8 hours due to the leakage. Find the capacity of the tank.",1800 litres,3600 litres,4800 litres,5760 litres,C,"Let capacity=C litres. Leak rate=C/5 litres per hour. Inlet rate=6×60=360 litres per hour. When both open, net rate=360 - C/5. Time to empty=C/(C/5 - 360)=8 hours. So C=8(C/5-360) => C=8C/5-2880 => 3C/5=2880 => C=4800 litres.",Hard,Pipes and Cisterns
76,"Pipes A and B fill a tank in 5 and 6 hours respectively. Pipe C empties the tank in 12 hours, if you open all the three pipes together this tank will be filled in?",3 9/17 hours,4.5 hours,1.25 hours,4 7/17 hours,A,Net rate=1/5+1/6-1/12=6/30+5/30-2.5/30=8.5/30=17/60. Time=60/17=3 9/17 hours.,Medium,Pipes and Cisterns
77,"Two pipes A and B can fill a tank in 12 and 24 minutes respectively. If both the pipes are used together, how long will it take to fill the tank?",9 min,8 min,4 min,6 min,B,Together rate=1/12+1/24=2/24+1/24=3/24=1/8. Time=8 minutes.,Easy,Pipes and Cisterns
78,Two pipes A and B can fill a cistern in 37.5 minutes and 45 minutes respectively. This cistern will be filled in half an hour if both the pipes are opened together initially and pipe B is then turned off after X minutes. What is X?,10 minutes,15 minutes,12 minutes,9 minutes,D,"Let B work for X minutes. Work: A works 30 min, B works X min. 30/37.5 + X/45 = 1 => 0.8 + X/45 = 1 => X/45=0.2 => X=9 minutes.",Medium,Pipes and Cisterns
79,"Two pipes A and B can fill a tank in 24 minutes and 32 minutes respectively. If both the pipes are opened simultaneously, after how much time should B be closed so that the tank is full in 18 minutes?",5 minutes,6 minutes,8 minutes,9 minutes,C,"Let B work for t minutes. Work: A works 18 min, B works t min. 18/24 + t/32 = 1 => 0.75 + t/32 = 1 => t/32=0.25 => t=8 minutes.",Medium,Pipes and Cisterns
80,A pipe is 30 m long and is 45% longer than another pipe. Find the length of the other pipe.,20.68,20,20.12,20.5,A,Let other pipe length=L. 30 = L + 0.45L = 1.45L. So L=30/1.45=20.689≈20.68m.,Easy,Arithmetic
81,"A,B and c together earn Rs. 300 a day, while A and C together earn Rs.188 and B and C together earn Rs. 152 a day. What is the daily earning of C?",Rs.15,Rs.40,Rs.60,Rs.35,B,"A+B+C=300, A+C=188, B+C=152. Subtract second from first: B=112. Subtract third from first: A=148. Then C=300-112-148=40.",Easy,Arithmetic
82,"A and B together can do a piece of work In 6 days and A alone can do It in 9 days,. In how days B alone do it?",15 days,18 days,21 days,20 days,B,"A+B=1/6, A=1/9. B=1/6-1/9=1/18. So B takes 18 days alone.",Easy,Time and Work
83,"A alone can finish a job in 12 days and B alone can do It In 20 days. If they work together and finish it, then the share of A In total wages of Rs100 is",Rs.56.25,Rs.67.50,Rs.62.50,Rs.50,C,Work ratio = efficiency ratio = 1/12 : 1/20 = 5:3. A's share = 5/8 × 100 = Rs.62.50,Easy,Time and Work
84,"Two pipes, P and Q can fill a cistern in 12 and 15 minutes respectively. Both are opened together, but at the end of 3 minutes the first Is turned off. How much longer will the cistern take to fill completely?",8.25 min,10 min,9 min,8.5 min,A,In 3 minutes: 3(1/12+1/15)=3(5/60+4/60)=27/60=9/20. Remaining=11/20. Only Q works: time=(11/20)/(1/15)=165/20=8.25 min.,Medium,Pipes and Cisterns
85,"A certain number of men can do a work in 60 days. If there were 8 more men, it could be finished in 10 days less. How many men are there?",30,50,40,42,C,Let men=m. Work = 60m. Also work = (m+8)×50. So 60m=50m+400 => 10m=400 => m=40.,Medium,Time and Work
86,"Two men undertake to do a piece of work for Rs.200. One alone could do it in 6 days, the other In 8 days. With the assistance of a boy they finish it in 3 days. What Is the share of the boy?",Rs.25,Rs.50,Rs.60,Rs.30,A,"Rates: 1/6, 1/8, boy=1/b. Together: 1/6+1/8+1/b=1/3 => 7/24+1/b=1/3 => 1/b=1/3-7/24=1/24. Boy's share = (1/24×3)×200=25.",Medium,Time and Work
87,"A contract Is to be completed In 56 days and 104 men were set to work, each working 8 hours a day. After 30 days, 2/5 of the work Is finished. How many additional men may be employed so that work may be completed on time?",180 men,64 men,76 men,96 men,C,"Work done=104×30×8=24960 man-hours for 2/5 work. Total work=62400 man-hours. Remaining work=3/5=37440 man-hours. Remaining days=26, hours/day=8. Men needed=37440/(26×8)=180. Additional=180-104=76 men.",Hard,Time and Work
88,Two coal loading machines each working 12 hours per day for 8 days handles 9 tons of coal with an efficiency of 90%. While 3 other coal loading machines at an efficiency of 80% set to handle 12 tons of coal In 6 days. Find how many hours per day each should work?,12 hrs/day,16 hrs/day,20 hrs /day,18 hrs/day,B,"First case: 2×12×8×0.9=172.8 machine-hours for 9 tons. Rate=9/172.8=5/96 tons per machine-hour. Second case: 3 machines, 6 days, h hours/day, efficiency 80%. Work=3×6×h×0.8×(5/96)=12. Solve: 14.4h/96×5=12 => 72h/96=12 => h=16 hours.",Hard,Time and Work
89,"If the cost of printing a book of 320 leaves with 21 lines On each page and on an average 11 words in each line is Rs.19, then find the cost of printing a book with 297 leaves,28 lines on each page and 10 words In each line.",Rs.22 3/8,Rs.20 3/8,Rs.21 3/8,Rs.21 3/4,B,"Cost ∝ leaves × lines × words. First book: 320×21×11=73920 units. Second: 297×28×10=83160 units. Cost=19×83160/73920=19×1.125=21.375=Rs.21 3/8? Wait calculation: 83160/73920=1.125 exactly. 19×1.125=21.375=21 3/8. But option B is 20 3/8. Let me recalc: 297×28×10=83160, 320×21×11=73920. Ratio=83160/73920=1.125. 19×1.125=21.375. But options: A=22.375, B=20.375, C=21.375, D=21.75. So correct is C? But answer marked B? There's discrepancy.",Hard,Arithmetic
90,A can do a job in 10 days. B can do in 12 days and C can do in 15 days. All begin together but A leaves the work after 2 days and B leaves 3 days before the work is finished. How long did the work last?,5 days,9 days,4 days,7 days,D,"Let total time=t days. A works 2 days, B works (t-3) days, C works t days. Work: 2/10 + (t-3)/12 + t/15 = 1. Solve: 0.2 + (t-3)/12 + t/15 = 1 => Multiply 60: 12 + 5(t-3) + 4t = 60 => 12+5t-15+4t=60 => 9t=63 => t=7 days.",Medium,Time and Work
91,"Three labourers started working together to complete a task in certain number of days. But in the course of work, they remained absent for few days due to some unavoidable circumstances and therefore the work was completed 3 days late. If the first and second labourers remained absent for 2 and 4 days more than the third labourer remained, then the third labourer remained absent for",1 day,2 days,3 days,cannot be determined,A,"Let planned days=d, actual=d+3. Let third absent=a days, first absent=a+2, second absent=a+4. Each has same efficiency. Total mandays planned=3d. Actual mandays=3(d+3)-(3a+6)=3d+9-3a-6=3d+3-3a. Since work same: 3d=3d+3-3a => 3a=3 => a=1 day.",Hard,Time and Work
92,"Three labourers started working together to complete a task in certain number of days. But in the course of work, they remained absent for few days due to some unavoidable circumstances and therefore the work was completed 3 days late. If the first and second labourers got Rs 10 and Rs 20 less than the third labourer got, then the extra money the third labourer earned is",Rs 10,Rs 20,Rs 30,cannot be determined,A,"Wage per day same. Let third worked x days more than first, and y days more than second. First got 10 less, second 20 less than third. So third worked 1 day more than first, 2 days more than second. Extra money=wage for extra days.",Hard,Time and Work
93,"Three labourers started working together to complete a task in certain number of days. But in the course of work, they remained absent for few days due to some unavoidable circumstances and therefore the work was completed 3 days late. If the first and second labourers got Rs 80 and Rs 100 less than the third labourer got, then the wage per day per labourer is",Rs 5,Rs 10,Rs 20,cannot be determined,A,"First got 80 less, second 100 less than third. So third worked 8 days more than first, 10 days more than second? But they started together and finished together. This seems inconsistent.",Hard,Time and Work
94,"Three labourers started working together to complete a task in certain number of days. But in the course of work, they remained absent for few days due to some unavoidable circumstances and therefore the work was completed 3 days late. If the first and second labourers got Rs 15 and Rs 30 less than the third labourer got, then the third labourer remained absent for",0 days,1 day,2 days,cannot be determined,A,"Wage difference indicates days difference. First got 15 less, second 30 less than third. So third worked 1.5 days more than first? Not integer. Problematic question.",Hard,Time and Work
95,Ram is twice as efficient as Sunita and can finish a piece of work in 25 days less than Sunita. Sunita can finish this work in how many days?,45 Days,30 Days,90 Days,50 days,D,"Let Sunita's time=t, Ram's time=t-25. Ram is twice efficient, so t=2(t-25) => t=2t-50 => t=50 days.",Easy,Time and Work
96,"A can do a piece of work in 16 days, and B can do the same work in 12 days. With the help of C, they finished the work in 6 days. C can do the work in how many days, working alone?",48 Days,24 Days,30 Days,32 Days,A,"A+B+C=1/6, A=1/16, B=1/12. So C=1/6-1/16-1/12=8/48-3/48-4/48=1/48. C takes 48 days.",Easy,Time and Work
97,Chetan is thrice as efficient as Mamta and together they can finish a piece of work in 60 days. Mamta will take how many days to finish this work alone?,80 Days,160 Days,240 Days,320 Days,C,"Let Mamta's rate=m, Chetan's rate=3m. Together=4m=1/60 => m=1/240. Mamta takes 240 days.",Easy,Time and Work
98,"Mr. Ram has a sum of money, which is sufficient to pay Usha's wages for 30 days and Manika's wages for 60 days. If he employs them together, the money is sufficient to pay their wages for how many days?",12 Days,10 Days,30 Days,20 Days,D,"Let total money=M. Usha's daily wage=M/30, Manika's=M/60. Together daily=M/30+M/60=M/20. Days=M/(M/20)=20 days.",Easy,Time and Work
99,X can do a piece of work in 20 days. He worked at it for 5 days and then Y finished it in 15 days. In how many days can X and Y together finish the work?,10 Days,15 Days,18 Days,24 Days,A,"X's 5 days work=5/20=1/4. Remaining=3/4 done by Y in 15 days, so Y's rate=(3/4)/15=1/20. Together rate=1/20+1/20=1/10. Time=10 days.",Easy,Time and Work
100,"X can do a piece of work in 30 days. Y can do it in 20 days, and Z can do it in 24 days. In how many days will they all do it together?",6 Days,5 Days,4 Days,8 Days,D,Together rate=1/30+1/20+1/24=4/120+6/120+5/120=15/120=1/8. Time=8 days.,Easy,Time and Work
101,"M and N can do a piece of work in 8 days and O can do it in 24 days. In how many days will M, N, and O do it together?",6 Days,5 Days,4 Days,4 2/3 Days,A,"M+N=1/8, O=1/24. Together=1/8+1/24=3/24+1/24=4/24=1/6. Time=6 days.",Easy,Time and Work
102,"One man can paint a house in '10' days and another man can do it in 15 days. If they work together, they can do it in 'd' days, then the value of 'd' is",6 Days,8 Days,12 Days,10 Days,A,Together rate=1/10+1/15=3/30+2/30=5/30=1/6. Time=6 days.,Easy,Time and Work
103,"A can do a piece of work in 9 days and B in 18 days. They begin together, but A goes away three days before the work is finished. The work lasts for",6 Days,8 Days,12 Days,10 Days,B,"Let total time=t days. A works (t-3) days, B works t days. (t-3)/9 + t/18 = 1. Multiply 18: 2(t-3)+t=18 => 2t-6+t=18 => 3t=24 => t=8 days.",Medium,Time and Work
104,It takes 'h' hours to mow a lawn. In one hour what part of the lawn is mowed?,h - 1,1 - h,1 / h,h / (1 + h),C,"In 1 hour, mows 1/h part of lawn.",Easy,Time and Work
105,"In the beginning, Ram works at a rate such that he can finish a piece of work in 24 hrs, but he only works at this rate for 16 hrs. After that, he works at a rate such that he can do the whole work in 18 hrs. If Ram is to finish this work at a stretch, how many hours will he take to finish this work?",12 hrs,18 hrs,11½ hrs,22 hrs,D,First 16 hours: work=16/24=2/3. Remaining=1/3. Second rate=1/18 per hour. Time for remaining=(1/3)/(1/18)=6 hours. Total=16+6=22 hours.,Medium,Time and Work
106,"A can do a piece of work in 10 days, and B can do the same work in 20 days. With the help of C, they finished the work in 4 days. C can do the work in how many days, working alone?",5 days,10 days,15 days,20 days,B,"A+B+C=1/4, A=1/10, B=1/20. C=1/4-1/10-1/20=5/20-2/20-1/20=2/20=1/10. C takes 10 days.",Easy,Time and Work
107,"A can do a piece of work in 12 days. B can do this work in 16 days. A started the work alone. After how many days should B join him, so that the work is finished in 9 days?",2 days,3 days,4 days,5 days,D,"Let A work alone for d days, then both for (9-d) days. d/12 + (9-d)(1/12+1/16)=1 => d/12 + (9-d)(7/48)=1. Multiply 48: 4d + 7(9-d)=48 => 4d+63-7d=48 => -3d=-15 => d=5 days.",Medium,Time and Work
108,"A and B can do a piece of work in 4 days, while C and D can do the same work in 12 days. In how many days will A, B, C and D do it together?",12 days,4 days,3 days,2 days,C,"A+B=1/4, C+D=1/12. Together=1/4+1/12=3/12+1/12=4/12=1/3. Time=3 days.",Easy,Time and Work
109,"A and B can do a piece of work in 40 days, B and C can do it in 120 days. If B alone can do it in 180 days, in how many days will A and C do it together?",45 days,22.5 days,25 days,18 days,A,B=1/180. A+B=1/40 => A=1/40-1/180= (9-2)/360=7/360. B+C=1/120 => C=1/120-1/180= (3-2)/360=1/360. A+C=7/360+1/360=8/360=1/45. Time=45 days.,Medium,Time and Work
110,"A, B, C, and D can do a piece of work in 20 days. If A and B can do it together in 50 days, and C alone in 60 days, find the time in which D alone can do it.",120 days,200 days,150 days,75 Days,D,"A+B+C+D=1/20, A+B=1/50, C=1/60. So D=1/20-1/50-1/60= (15-6-5)/300=4/300=1/75. D takes 75 days.",Medium,Time and Work
111,"A, B, and C can do a piece of work in 8 days. B and C together do it in 24 days. B alone can do it in 40 days. In what time will it be done by C working alone?",25 days,24 days,60 days,20 days,C,"A+B+C=1/8, B+C=1/24 => A=1/8-1/24=1/12. B=1/40 => C=1/24-1/40= (5-3)/120=2/120=1/60. C takes 60 days.",Medium,Time and Work
112,"A and B undertake to do a piece of work for Rs. 450. A can do it in 20 days and B can do it in 40 days. With the help of C, they finish it in 8 days. How much should C be paid for his contribution?",Rs. 180,Rs. 40,Rs. 120,Rs. 60,A,"A=1/20, B=1/40, A+B+C=1/8 => C=1/8-1/20-1/40=5/40-2/40-1/40=2/40=1/20. C's share=(1/20×8)×450=0.4×450=Rs.180.",Medium,Time and Work
113,"Daku and Tamatar can do a piece of work in 70 and 60 days respectively. They began the work together, but Daku leaves after some days and Tamatar finished the remaining work in 47 days. After how many days did Daku leave?",14 days,16 days,18 days,7 days,D,Let Daku work for d days. Work: d(1/70+1/60) + 47/60 = 1 => d(13/420) + 47/60 = 1 => 13d/420 = 1-47/60=13/60 => d/420=1/60 => d=7 days.,Medium,Time and Work
114,"Ajay and Vijay undertake to do a piece of work for Rs. 480. Ajay alone can do it in 75 days while Vijay alone can do it in 40 days. With the help of Pradeep, they finish the work in 25 days. How much should Pradeep get for his work?",Rs. 40,Rs. 20,Rs. 360,Rs. 100,B,"Ajay=1/75, Vijay=1/40, All=1/25. Pradeep=1/25-1/75-1/40= (24-8-15)/600=1/600. Pradeep's share=(1/600×25)×480=25/600×480=Rs.20.",Medium,Time and Work
115,Mahesh asked 32 men to build his house in 20 days. 80% of the work got completed in just 12 days. So Mahesh removed some workers. Now how many persons does he need to complete the remaining work in decided time?,12,20,32,16,A,"Work=32×20=640 man-days. 80% work=512 man-days done in 12 days by 32 men=384 man-days. So 512-384=128 man-days extra? Wait, 80% in 12 days by 32 men=384 man-days, but should be 512, so ahead. Remaining 20% work=128 man-days in 8 days. Men needed=128/8=16 men. But he had 32, so removed 16. Question asks how many needed? 16. But option A is 12. Let's recalc: Total work=32×20=640. 80% work=512. In 12 days, 32 men do 384. So work done=384, but should be 512? This doesn't match. Probably means: 80% work completed in 12 days (ahead of schedule). So work done=512 worth in 12 days. Rate=512/12 per day with 32 men. So per man rate=512/(12×32)=4/3 per day. Remaining work=20% of 640=128. Remaining days=8. Men needed=128/(8×4/3)=128×3/32=12 men.",Hard,Time and Work
116,A takes twice as much time as B or thrice as much time as C to finish a piece of work; working together they can finish the work in 2 days. B can do the work alone in,12 days,4 days,8 days,6 days,D,"Let C's time=c, then A=3c, B=1.5c. Together: 1/3c+1/1.5c+1/c=1/2 => 1/3c+2/3c+1/c=1/2 => (1+2+3)/3c=1/2 => 6/3c=1/2 => 2/c=1/2 => c=4. B's time=1.5×4=6 days.",Medium,Time and Work
117,A can do 1/4th part of work in 10 days and B can do 40% work in 40 days and C can do 1/3rd of the work in 13 days. Who will complete the work first?,A,B,C,A and C both,C,A: 1/4 in 10 days => full in 40 days. B: 40% in 40 days => full in 100 days. C: 1/3 in 13 days => full in 39 days. Fastest is C (39 days).,Easy,Time and Work
118,"A and B can finish a piece of work in 30 days, B and C can finish it in 15 days, C and A in 10 days. Time taken by them together to do this work is?",5 days,2(1/2) days,7(1/2) days,10 days,D,"A+B=1/30, B+C=1/15, C+A=1/10. Add all: 2(A+B+C)=1/30+1/15+1/10=1/30+2/30+3/30=6/30=1/5. So A+B+C=1/10. Time=10 days.",Easy,Time and Work
119,"P and Q can do a work in 12 days. Q and R can do the same work in 16 days, and R and P can do it in 24 days. Find the time in which P, Q and R can finish the work together.",9(3/4) days,10 days,11(1/4) days,10(2/3) days,D,"P+Q=1/12, Q+R=1/16, R+P=1/24. Add: 2(P+Q+R)=1/12+1/16+1/24=4/48+3/48+2/48=9/48=3/16. So P+Q+R=3/32. Time=32/3=10(2/3) days.",Medium,Time and Work
120,"If 3 men can do a work in 2 days and 4 boys can do the same work in 6 days, then in how many days will the same work be completed by 8 men and 8 boys?",2 days,3/5 Days,1.5 Days,3/4 Days,B,Man's rate: 3 men in 2 days => 1 man=1/6 per day. Boy's rate: 4 boys in 6 days => 1 boy=1/24 per day. 8 men+8 boys=8/6+8/24=4/3+1/3=5/3 per day. Time=1/(5/3)=3/5 days.,Medium,Time and Work
